MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,GrossCollection,Certification,votes
I Saw the Devil, Lee Byung-hun, Choi Min-sik, Jeon Gook-hwan, Ho-jin Chun,Action, Crime, Thriller,0.13,Not Rated ,"1,37,915"
Big Hero 6, Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller,Animation, Action, Adventure,222.53,PG ,"4,78,998"
Serenity, Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk,Action, Adventure, Sci-Fi,25.51,PG-13 ,"3,00,789"
The Fighter, Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo,Action, Biography, Drama,93.62,R ,"3,78,045"
How to Train Your Dragon 2, Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson,Animation, Action, Adventure,177,PG ,"3,49,155"
"Aguirre, the Wrath of God", Klaus Kinski, Ruy Guerra, Helena Rojo, Del Negro,Action, Adventure, Biography,Nan,Not Rated ,"59,334"
Letters from Iwo Jima, Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryo Kase,Action, Adventure, Drama,13.76,R ,"1,66,614"
The Chaser, Kim Yoon-seok, Ha Jung-woo, Yeong-hie Seo, Kim Yoo-jeong,Action, Crime, Drama,Nan,Not Rated ,"69,457"
Ninja Scroll, Kôichi Yamadera, Emi Shinohara, Takeshi Aono, Osamu Saka,Animation, Action, Adventure,Nan,Not Rated ,"39,031"
Batman: Mask of the Phantasm, Kevin Conroy, Dana Delany, Hart Bochner, Stacy Keach,Animation, Action, Adventure,5.62,PG ,"53,796"
Cowboy Bebop: The Movie, Beau Billingslea, Melissa Fahn, Nicholas Guest, Kôichi Yamadera,Animation, Action, Crime,1,TV-14 ,"50,831"
The Killer, Chow Yun-Fat, Danny Lee, Sally Yeh, Kong Chu,Action, Crime, Drama,Nan,R ,"49,699"
Knockin' on Heaven's Door, Til Schweiger, Jan Josef Liefers, Thierry van Werveke, Moritz Bleibtreu,Action, Crime, Comedy,0,Not Rated ,"32,213"
Minnal Murali, Tovino Thomas, Guru Somasundaram, Aju Varghese, Baiju,Action, Comedy, Drama,Nan,TV-14 ,"31,265"
Mission: Impossible - Fallout, Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg,Action, Adventure, Thriller,220.16,PG-13 ,"3,46,964"
Kingsman: The Secret Service, Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine,Action, Adventure, Comedy,128.26,R ,"6,89,432"
The Magnificent Seven, Yul Brynner, Steve McQueen, Charles Bronson, Eli Wallach,Action, Adventure, Drama,4.91,Approved ,"98,661"
Black Hawk Down, Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana,Action, Drama, History,108.64,R ,"4,08,766"
3:10 to Yuma, Russell Crowe, Christian Bale, Ben Foster, Logan Lerman,Action, Crime, Drama,53.61,R ,"3,21,489"
Man on Fire, Denzel Washington, Christopher Walken, Dakota Fanning, Radha Mitchell,Action, Crime, Drama,77.91,R ,"3,73,074"
The French Connection, Gene Hackman, Roy Scheider, Fernando Rey, Tony Lo Bianco,Action, Crime, Drama,15.63,R ,"1,28,261"
X-Men: First Class, James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon,Action, Sci-Fi,Nan,146.41,PG-13 ,"7,06,546"
The Lego Movie, Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett,Animation, Action, Adventure,257.76,PG ,"3,71,971"
The Last of the Mohicans, Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig,Action, Adventure, Drama,75.51,R ,"1,78,322"
